Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
AMJ Land Holdings Limited,21.411947,1.2257646,4.117,0.06863,0.047859997
Amines & Plasticizers Limited,34.899868,6.534346,38.619,0.1455187390610315,0.0520307211637942
Amrutanjan Health Care Limited,45.012188,7.402341,0.599,0.1455187390610315,0.0520307211637942
Anand Rathi Wealth Limited,61.983273,29.48085,11.665,0.46761,0.28059998
Anant Raj Limited,79.736084,7.4174423,10.003,0.10491,0.052249998
Andhra Paper Limited,10.168234,0.99547833,13.044,0.10286,0.04042
The Andhra Sugars Limited,23.518608,0.81156987,1.843,0.1455187390610315,0.0520307211637942
Angel One Limited,19.267906,4.882411,59.402,0.33366,0.090059996
Anik Industries Limited,65.54656602500884,0.903279,1.825,0.1455187390610315,0.0520307211637942
Ankit Metal & Power Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,0.0520307211637942
Anmol India Limited,11.13278,1.4344525,158.723,0.13944,0.03153
Ansal Properties & Infrastructure Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,0.0520307211637942
Antarctica Limited,65.54656602500884,1.3891532,17.416,0.1455187390610315,0.0520307211637942
Anuh Pharma Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,0.0520307211637942
The Anup Engineering Limited,100.1827,12.502736,3.431,0.23652,0.097770005
Anupam Rasayan India Ltd,112.30469,2.8579438,36.511,0.1455187390610315,0.0520307211637942
APAR Industries Limited,47.6196,9.9385605,13.218,0.25878,0.09843001
Anjani Portland Cement Limited,65.54656602500884,1.5782752,143.612,0.1455187390610315,0.0520307211637942
Apcotex Industries Limited,38.84921,3.7385676,39.329,0.10042,0.054180004
Apex Frozen Foods Limited,160.31126,1.5218977,21.505,0.1455187390610315,0.0520307211637942
APL Apollo Tubes Limited,73.225655,11.108628,26.57,0.16073,0.07566
Alembic Pharmaceuticals Limited,31.749697,4.210933,21.817,0.13814001,0.066139996
Apollo Micro Systems Limited,55.54762,4.902548,37.42,0.09385,0.06494
Apollo Hospitals Enterprise Limited,88.66366,14.550134,93.132,0.16549,0.072270006
Apollo Pipes Limited,64.536285,2.9240174,20.378,0.05469,0.05046
Apollo Tyres Limited,23.317265,2.4308236,35.283,0.1455187390610315,0.0520307211637942
Apollo Sindoori Hotels Limited,49.397385,3.3463957,64.577,0.1455187390610315,0.0520307211637942
