Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
Ami Organics Limited,91.63808,7.0752926,0.509,10.312000000000001,6.6000000000000005
AMJ Land Holdings Limited,21.411947,1.2257646,4.117,6.8629999999999995,4.7859997000000005
Amines & Plasticizers Limited,34.899868,6.534346,38.619,14.551873906103149,5.2030721163794205
Amrutanjan Health Care Limited,45.012188,7.402341,0.599,14.551873906103149,5.2030721163794205
Anand Rathi Wealth Limited,61.983273,29.48085,11.665,46.761,28.059998000000004
Anant Raj Limited,79.736084,7.4174423,10.003,10.491,5.2249998
Andhra Paper Limited,10.168234,0.99547833,13.044,10.286,4.042
The Andhra Sugars Limited,23.518608,0.81156987,1.843,14.551873906103149,5.2030721163794205
Angel One Limited,19.267906,4.882411,59.402,33.366,9.0059996
Anik Industries Limited,65.54656602500884,0.903279,1.825,14.551873906103149,5.2030721163794205
Ankit Metal & Power Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Anmol India Limited,11.13278,1.4344525,158.723,13.944,3.1530000000000005
Ansal Properties & Infrastructure Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Antarctica Limited,65.54656602500884,1.3891532,17.416,14.551873906103149,5.2030721163794205
Anuh Pharma Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
The Anup Engineering Limited,100.1827,12.502736,3.431,23.652,9.7770005
Anupam Rasayan India Ltd,112.30469,2.8579438,36.511,14.551873906103149,5.2030721163794205
APAR Industries Limited,47.6196,9.9385605,13.218,25.878,9.843001
Anjani Portland Cement Limited,65.54656602500884,1.5782752,143.612,14.551873906103149,5.2030721163794205
Apcotex Industries Limited,38.84921,3.7385676,39.329,10.042,5.4180003999999995
Apex Frozen Foods Limited,160.31126,1.5218977,21.505,14.551873906103149,5.2030721163794205
APL Apollo Tubes Limited,73.225655,11.108628,26.57,16.073,7.566000000000001
Alembic Pharmaceuticals Limited,31.749697,4.210933,21.817,13.814001000000001,6.6139996000000005
Apollo Micro Systems Limited,55.54762,4.902548,37.42,9.385,6.494
Apollo Hospitals Enterprise Limited,88.66366,14.550134,93.132,16.549,7.2270006
Apollo Pipes Limited,64.536285,2.9240174,20.378,5.469,5.045999999999999
Apollo Tyres Limited,23.317265,2.4308236,35.283,14.551873906103149,5.2030721163794205
Apollo Sindoori Hotels Limited,49.397385,3.3463957,64.577,14.551873906103149,5.2030721163794205
Aptech Limited,55.04611,4.2607627,3.26,14.551873906103149,5.2030721163794205
Aptus Value Housing Finance India Limited,23.182156,3.872522,154.359,17.879998999999998,7.439
Archidply Industries Limited,65.54656602500884,2.1874497,132.932,14.551873906103149,5.2030721163794205
Archies Limited,65.54656602500884,0.8708821,56.669,14.551873906103149,5.2030721163794205
Amara Raja Energy & Mobility Limited,21.756153,2.9403687,4.647,15.2,8.685
Rajdarshan Industries Limited,17.297058,0.76232076,89.8259119818285,4.601,-0.38899999999999996
Aries Agro Limited,14.115755,1.5349725,27.793,14.551873906103149,5.2030721163794205
Arihant Capital Markets Limited,12.829487,2.8100078,53.667,25.595000000000002,9.5790006
