Ticker,Company Name,Sector,Industry,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
NATCOPHARM.NS,NATCO Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,12.79298,3.4788544,2.912,0.31228,0.18889
NATHBIOGEN.NS,Nath Bio-Genes (India) Limited,Basic Materials,Agricultural Inputs,9.159863,0.61845285,19.913,0.06334,0.03446
NATIONALUM.NS,National Aluminium Company Limited,Basic Materials,Aluminum,12.8844795,2.776232,0.67,,
NAUKRI.NS,Info Edge (India) Limited,Communication Services,Internet Content & Information,236.10184,2.6669116,0.59,0.01712,0.01318
NAVA.NS,Nava Limited,Industrials,Conglomerates,12.529576,2.0686274,4.971,,
NAVINFLUOR.NS,Navin Fluorine International Limited,Basic Materials,Chemicals,63.480762,6.6585937,56.027,0.10913,0.044749998
NAVKARCORP.NS,Navkar Corporation Limited,Industrials,Integrated Freight & Logistics,,1.2476814,10.803,-0.00792,0.00169
NAVNETEDUL.NS,Navneet Education Limited,Communication Services,Publishing,3.9979432,1.6479324,4.095,0.49768,0.08051
NAZARA.NS,Nazara Technologies Limited,Communication Services,Electronic Gaming & Multimedia,92.82975,3.800491,1.187,,
NBCC.NS,NBCC (India) Limited,Industrials,Engineering & Construction,55.807228,11.2386265,0.026,,
NBIFIN.NS,N.B.I. Industrial Finance Company Limited,Financial Services,Capital Markets,122.50085,0.3789433,,,
NCC.NS,NCC Limited,Industrials,Engineering & Construction,21.361237,2.5839026,24.481,0.12695,0.059180003
NCLIND.NS,NCL Industries Limited,Basic Materials,Building Materials,14.9894,1.1298864,34.336,,
NDGL.NS,Naga Dhunseri Group Limited,Financial Services,Capital Markets,13.490962,,,,
NDL.NS,Nandan Denim Limited,Consumer Cyclical,Textile Manufacturing,7.042254,1.1981788,51.191,0.08911,0.047849998
NDLVENTURE.NS,NDL Ventures Limited,Communication Services,Entertainment,350.6774,6.336928,,0.0175,-0.02575
NDRAUTO.NS,NDR Auto Components Limited,Consumer Cyclical,Auto Parts,39.417526,6.3225265,13.104,0.17243,0.07744
NDTV.NS,New Delhi Television Limited,Communication Services,Broadcasting,,6.6154346,114.972,-0.48856997,-0.14446001
NECCLTD.NS,North Eastern Carrying Corporation Limited,Industrials,Trucking,33.65,1.5490495,43.988,0.06567,0.045900002
NECLIFE.NS,Nectar Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,87.14893,0.8590784,59.438,,
NELCAST.NS,Nelcast Limited,Industrials,Metal Fabrication,22.401802,2.0254793,57.163,0.094189994,0.03333
NELCO.NS,Nelco Limited,Technology,Communication Equipment,142.15848,23.323889,40.093,0.17568001,0.07096
NEOGEN.NS,Neogen Chemicals Limited,Basic Materials,Specialty Chemicals,132.38235,7.0282,53.785,,
NESCO.NS,Nesco Limited,Industrials,Conglomerates,17.667105,2.7270515,0.042,0.16588,0.12041
NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,Packaged Foods,70.03907,53.14036,9.475,,
NETWEB.NS,Netweb Technologies India Limited,Technology,Computer Hardware,154.2549,33.15668,1.85,0.23396999,0.12668
NETWORK18.NS,Network18 Media & Investments Limited,Communication Services,Broadcasting,,0.78462607,33.374,-0.025390001,-0.01526
NEULANDLAB.NS,Neuland Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,63.287636,12.691512,7.847,0.22126,0.12132
NEWGEN.NS,Newgen Software Technologies Limited,Technology,Software - Infrastructure,78.67742,17.067696,3.331,0.24972999,0.120620005
NEXTMEDIA.NS,Next Mediaworks Limited,Communication Services,Broadcasting,,,,,-0.08271
NFL.NS,National Fertilizers Limited,Basic Materials,Agricultural Inputs,15.502035,2.1667395,55.44,0.15262,0.0365
NGIL.NS,Nakoda Group of Industries Limited,Consumer Defensive,Packaged Foods,,2.695012,94.374,,
NGLFINE.NS,NGL Fine-Chem Limited,Healthcare,Drug Manufacturers - General,29.598713,4.6587095,12.947,,
NH.NS,Narayana Hrudayalaya Limited,Healthcare,Medical Care Facilities,34.114353,8.297589,53.101,0.27290002,0.10617
NHPC.NS,NHPC Limited,Utilities,Utilities - Renewable,32.812,2.063492,79.93,0.07624,0.033210002
NIACL.NS,The New India Assurance Company Limited,Financial Services,Insurance - Diversified,24.78554,0.65843445,,0.03639,0.00898
NIBL.NS,NRB Industrial Bearings Limited,Industrials,Tools & Accessories,,,,,-0.11474
NIITLTD.NS,NIIT Limited,Consumer Defensive,Education & Training Services,54.55588,2.3799381,0.77,0.0467,-0.00805
NIITMTS.NS,NIIT Learning Systems Limited,Consumer Defensive,Education & Training Services,27.37978,5.568931,10.83,0.23199,0.10115
NILAINFRA.NS,Nila Infrastructures Limited,Real Estate,Real Estate - Development,27.4375,3.4449387,19.261,0.12976,0.01282
NILASPACES.NS,Nila Spaces Limited,Real Estate,Real Estate - Development,36.509808,5.7239475,15.633,0.16194999,0.05313
NILKAMAL.NS,Nilkamal Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",24.76591,1.9963449,32.018,0.083500005,0.04778
NINSYS.NS,NINtec Systems Limited,Technology,Information Technology Services,46.817406,29.155155,6.751,,
NIPPOBATRY.NS,Indo National Limited,Industrials,Electrical Equipment & Parts,2.9331074,0.82007265,36.972,,
NIRAJ.NS,Niraj Cement Structurals Limited,Industrials,Engineering & Construction,19.075144,1.7388555,0.475,,
NIRAJISPAT.NS,Niraj Ispat Industries Limited,,,18.148037,,,,
NITCO.NS,NITCO Limited,Industrials,Building Products & Equipment,,,,,
NITINSPIN.NS,Nitin Spinners Limited,Consumer Cyclical,Textile Manufacturing,16.98332,2.1624715,96.894,0.13542,0.07417
NITIRAJ.NS,Nitiraj Engineers Limited,Technology,Scientific & Technical Instruments,28.882277,2.8729892,0.292,,
NIVABUPA.NS,Niva Bupa Health Insurance Company Limited,Financial Services,Insurance - Life,103.55405,,8.374,0.05599,
NKIND.NS,N.K Industries Limited,Consumer Defensive,Household & Personal Products,,,,,
NLCINDIA.NS,NLC India Limited,Utilities,Utilities - Regulated Electric,16.992046,1.7031207,108.269,0.09616,0.023740001
NMDC.NS,NMDC Limited,Basic Materials,Steel,10.321118,2.2114093,14.651,0.22945999,0.12855
NOCIL.NS,NOCIL Limited,Basic Materials,Specialty Chemicals,29.388361,2.3272326,0.663,0.082270004,0.03949
NOIDATOLL.NS,Noida Toll Bridge Company Limited,Industrials,Infrastructure Operations,,1.694605,34.512,-0.120299995,-0.04868
NORBTEAEXP.NS,Norben Tea & Exports Limited,Consumer Defensive,Farm Products,,1.8478651,79.646,,
NORTHARC.NS,Northern Arc Capital Limited,Financial Services,Credit Services,9.717824,0.85380876,279.348,0.12854,0.030669998
NOVAAGRI.NS,Nova Agritech Limited,Basic Materials,Agricultural Inputs,19.52469,3.0308547,31.693,,
NRAIL.NS,N R Agarwal Industries Limited,Basic Materials,Paper & Paper Products,10.792824,0.82668805,90.26,0.079390004,0.038829997
NRBBEARING.NS,NRB Bearings Limited,Consumer Cyclical,Auto Parts,10.586571,2.917481,15.761,0.31759,0.06716
NRL.NS,Nupur Recyclers Limited,Industrials,Waste Management,,8.336408,14.673,,
NSIL.NS,Nalwa Sons Investments Limited,Financial Services,Asset Management,47.212254,0.31205207,,,
NSLNISP.NS,NMDC Steel Limited,Basic Materials,Steel,,0.8495743,43.013,,
NTPC.NS,NTPC Limited,Utilities,Utilities - Regulated Electric,16.936546,1.9226668,139.959,0.13656001,0.04476
NTPCGREEN.NS,,,,363.54053,,,,
NUCLEUS.NS,Nucleus Software Exports Limited,Technology,Software - Application,17.635355,3.5558703,0.59,,
NURECA.NS,Nureca Limited,Healthcare,Medical Devices,,1.4387448,2.73,-0.0143099995,-0.04682
OBCL.NS,Orissa Bengal Carrier Limited,Industrials,Trucking,87.469696,1.3608184,15.261,,
OBEROIRLTY.NS,Oberoi Realty Limited,Real Estate,Real Estate - Development,35.43703,2.7791736,14.056,0.16801001,0.09229
OCCL.NS,Oriental Carbon & Chemicals Limited,Basic Materials,Chemicals,5.5422635,0.36383787,,,
OFSS.NS,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,42.995235,15.068862,0.433,0.36806,0.22459999
OIL.NS,Oil India Limited,Energy,Oil & Gas Integrated,8.153712,1.2984186,48.753,0.17884001,0.07035
OILCOUNTUB.NS,Oil Country Tubular Limited,Energy,Oil & Gas Equipment & Services,,1.3750995,46.332,,
OLAELEC.NS,,Consumer Cyclical,Auto Manufacturers,,5.816756,51.042,,
OLECTRA.NS,Olectra Greentech Limited,Industrials,Farm & Heavy Construction Machinery,106.95255,12.259968,18.952,0.12251,0.05866
OMAXAUTO.NS,Omax Autos Limited,Consumer Cyclical,Auto Parts,7.0817847,0.784338,33.983,0.11644,0.03467
OMAXE.NS,Omaxe Limited,Real Estate,Real Estate - Development,,4.1087337,162.725,,
OMINFRAL.NS,Om Infra Limited,Industrials,Engineering & Construction,62.580883,2.095325,13.14,0.03289,0.01872
ONELIFECAP.NS,Onelife Capital Advisors Limited,Financial Services,Capital Markets,,0.44111833,51.365,,
ONEPOINT.NS,One Point One Solutions Limited,Industrials,Specialty Business Services,43.638462,8.676965,41.576,,
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,7.3722076,0.8596414,50.462,0.12048,0.0482
ONMOBILE.NS,OnMobile Global Limited,Communication Services,Telecom Services,,1.1792499,2.577,,
ONWARDTEC.NS,Onward Technologies Limited,Technology,Information Technology Services,30.604763,3.4778514,16.263,0.12086,0.061
OPTIEMUS.NS,Optiemus Infracom Limited,Technology,Electronics & Computer Distribution,89.283905,14.181748,38.443,,
ORBTEXP.NS,Orbit Exports Limited,Consumer Cyclical,Textile Manufacturing,17.524258,2.4674,9.277,0.14696,0.06638
ORCHPHARMA.NS,Orchid Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,74.74458,7.488171,11.559,,
ORICONENT.NS,Oricon Enterprises Limited,Consumer Cyclical,Packaging & Containers,359.1818,0.52798265,9.602,,
ORIENTALTL.NS,Oriental Trimex Limited,Industrials,Building Products & Equipment,,0.44156593,10.667,,
ORIENTBELL.NS,Orient Bell Limited,Industrials,Building Products & Equipment,706.1957,1.5305715,14.154,0.0021600001,0.0050999997
ORIENTCEM.NS,Orient Cement Limited,Basic Materials,Building Materials,45.309555,4.060035,9.999,0.08963,0.05633
ORIENTCER.NS,Orient Ceratech Limited,Basic Materials,Specialty Chemicals,38.958332,2.0289037,20.902,,
ORIENTELEC.NS,Orient Electric Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",83.96563,8.003799,15.719,0.09783,0.0422
ORIENTHOT.NS,Oriental Hotels Limited,Consumer Cyclical,Lodging,75.00422,4.934762,33.06,0.07086,0.04919
ORIENTLTD.NS,Orient Press Limited,Consumer Cyclical,Packaging & Containers,,1.7868619,98.665,,
ORIENTPPR.NS,Orient Paper & Industries Limited,Basic Materials,Paper & Paper Products,,0.50930536,19.82,,
ORISSAMINE.NS,The Orissa Minerals Development Company Limited,Basic Materials,Other Industrial Metals & Mining,296.75674,,,,
ORTINGLOBE.NS,Ortin Global Limited,Healthcare,Drug Manufacturers - Specialty & Generic,,5.274978,63.823,,
OSIAHYPER.NS,Osia Hyper Retail Limited,Consumer Cyclical,Department Stores,21.21127,2.003992,57.649,,
OSWALAGRO.NS,Oswal Agro Mills Limited,Real Estate,Real Estate - Development,142.84,1.1444962,0.01,,
OSWALGREEN.NS,Oswal Greentech Limited,Financial Services,Asset Management,131.72974,0.5028008,0.081,,
OSWALSEEDS.NS,ShreeOswal Seeds and Chemicals Limited,Basic Materials,Agricultural Inputs,,4.609784,158.847,,
PAGEIND.NS,Page Industries Limited,Consumer Cyclical,Apparel Manufacturing,87.2779,36.38719,13.866,0.41127998,0.1966
PAISALO.NS,Paisalo Digital Limited,Financial Services,Credit Services,18.536913,3.4659307,198.546,0.13829,0.04625
PAKKA.NS,Pakka Limited,Basic Materials,Paper & Paper Products,31.629213,4.823058,73.183,,
PALASHSECU.NS,Palash Securities Limited,Consumer Defensive,Packaged Foods,,0.35037014,6.189,,
PALREDTEC.NS,Palred Technologies Limited,Technology,Consumer Electronics,,1.9461468,116.754,,
PANACEABIO.NS,Panacea Biotec Limited,Healthcare,Biotechnology,,3.2036734,2.504,,
PANACHE.NS,Panache Digilife Limited,Technology,Communication Equipment,569.66046,11.366614,102.798,,
PANAMAPET.NS,Panama Petrochem Limited,Energy,Oil & Gas Refining & Marketing,12.016923,2.142524,2.359,,
PANSARI.NS,Pansari Developers Limited,Real Estate,Real Estate - Development,67.25589,2.7517185,67.992,,
PAR.NS,Par Drugs and Chemicals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,13.814814,2.6072314,,0.20838,0.13841
PARACABLES.NS,Paramount Communications Limited,Technology,Communication Equipment,26.59813,3.8386834,3.321,0.18128,0.08156
PARADEEP.NS,Paradeep Phosphates Limited,Basic Materials,Agricultural Inputs,24.438204,2.360231,115.615,0.10102,0.05294
PARAGMILK.NS,Parag Milk Foods Limited,Consumer Defensive,Packaged Foods,23.09828,2.3291712,67.378,0.1106,0.05743
PARAS.NS,Paras Defence and Space Technologies Limited,Industrials,Aerospace & Defense,85.647514,8.24336,14.661,0.094160005,0.0571
PARASPETRO.NS,Paras Petrofils Limited,Consumer Cyclical,Textile Manufacturing,,5.83004,,,
PARKHOTELS.NS,,Consumer Cyclical,Lodging,54.329308,3.2029567,8.341,,
PARSVNATH.NS,Parsvnath Developers Limited,Real Estate,Real Estate - Development,,,,,
